"","sssdistrict","jssdistrict","jsslong","jsslat","ssslong","ssslat","distance"
"209","Abura/Asebu/Kwamankese (Abura Dunkwa)","Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685,-1.19708836078644,5.13000059127808,16.5575870526442
"210","Abura/Asebu/Kwamankese (Abura Dunkwa)","Tano North",-2.17906522750854,7.17709350585938,-1.19708836078644,5.13000059127808,69.5105076695451
"211","Abura/Asebu/Kwamankese (Abura Dunkwa)","Lawra",-2.80094122886658,10.5463981628418,-1.19708836078644,5.13000059127808,118.004744319028
"212","Abura/Asebu/Kwamankese (Abura Dunkwa)","Amansie Central (Jacobu)",-1.73985767364502,6.24280118942261,-1.19708836078644,5.13000059127808,38.4522649902988
"213","Abura/Asebu/Kwamankese (Abura Dunkwa)","Ahafo Ano South (Mankranso)",-1.9891722202301,6.92877149581909,-1.19708836078644,5.13000059127808,56.4099063917785
"214","Abura/Asebu/Kwamankese (Abura Dunkwa)","Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808,-1.19708836078644,5.13000059127808,0
"215","Abura/Asebu/Kwamankese (Abura Dunkwa)","Wassa Amenfi (Asankragwa)",-2.3020179271698,5.72551774978638,-1.19708836078644,5.13000059127808,76.2100669784718
"216","Abura/Asebu/Kwamankese (Abura Dunkwa)","Ho Municipal",0.526142239570618,6.71760702133179,-1.19708836078644,5.13000059127808,119.115201119193
"217","Abura/Asebu/Kwamankese (Abura Dunkwa)","New Juaben (Koforidua)",-0.297512322664261,6.1126127243042,-1.19708836078644,5.13000059127808,62.4091354080373
"218","Abura/Asebu/Kwamankese (Abura Dunkwa)","Kumasi Metro",-1.59718716144562,6.68205976486206,-1.19708836078644,5.13000059127808,30.3677345970395
"219","Abura/Asebu/Kwamankese (Abura Dunkwa)","Berekum",-2.63174390792847,7.50356483459473,-1.19708836078644,5.13000059127808,100.3492040539
"220","Abura/Asebu/Kwamankese (Abura Dunkwa)","Awutu/Efutu/Senya (Winneba)",-0.508638918399811,5.54489612579346,-1.19708836078644,5.13000059127808,47.5240674609133
"221","Abura/Asebu/Kwamankese (Abura Dunkwa)","Savelugu/Nanton (Savelugu)",-0.815288662910461,9.81180095672607,-1.19708836078644,5.13000059127808,46.8340329412785
"222","Abura/Asebu/Kwamankese (Abura Dunkwa)","Sene (Kwame Danso)",-0.348857820034027,7.72152233123779,-1.19708836078644,5.13000059127808,62.0083513175506
"223","Abura/Asebu/Kwamankese (Abura Dunkwa)","East Gonja (Salaga)",-0.533939599990845,8.72915744781494,-1.19708836078644,5.13000059127808,54.3302024497269
"224","Abura/Asebu/Kwamankese (Abura Dunkwa)","Adansi North (Fomena)",-1.56873786449432,6.07334852218628,-1.19708836078644,5.13000059127808,26.7403726445931
"225","Abura/Asebu/Kwamankese (Abura Dunkwa)","Kassena/Nankani (Navrongo)",-1.21744096279144,10.9094228744507,-1.19708836078644,5.13000059127808,48.0871595561085
"226","Abura/Asebu/Kwamankese (Abura Dunkwa)","Atebubu",-1.0652015209198,7.67559051513672,-1.19708836078644,5.13000059127808,23.0212701939926
"227","Abura/Asebu/Kwamankese (Abura Dunkwa)","Sawla-Tuna-Kalba",-2.36116719245911,9.40702152252197,-1.19708836078644,5.13000059127808,87.0396917487339
"228","Abura/Asebu/Kwamankese (Abura Dunkwa)","Karaga",-0.535205662250519,9.93793296813965,-1.19708836078644,5.13000059127808,60.2720765614325
"229","Abura/Asebu/Kwamankese (Abura Dunkwa)","Sisala west (Gwollu)",-2.28611850738525,10.7578830718994,-1.19708836078644,5.13000059127808,87.5663809614873
"230","Abura/Asebu/Kwamankese (Abura Dunkwa)","Hohoe",0.466238558292389,7.03059482574463,-1.19708836078644,5.13000059127808,115.279552945993
"231","Abura/Asebu/Kwamankese (Abura Dunkwa)","Nanumba North (Bimbilla)",-0.141764163970947,8.81677436828613,-1.19708836078644,5.13000059127808,78.3828448728452
"232","Abura/Asebu/Kwamankese (Abura Dunkwa)","Assin South (Nsuaem Kyekyewere)",-1.26436614990234,5.49579477310181,-1.19708836078644,5.13000059127808,5.5420442485093
"233","Abura/Asebu/Kwamankese (Abura Dunkwa)","Ga East (Abokobi)",-0.241145879030228,5.72114276885986,-1.19708836078644,5.13000059127808,65.9785625498502
"234","Abura/Asebu/Kwamankese (Abura Dunkwa)","Ketu (Denu)",1.03270864486694,6.11122751235962,-1.19708836078644,5.13000059127808,153.580095749258
"235","Abura/Asebu/Kwamankese (Abura Dunkwa)","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,-1.19708836078644,5.13000059127808,55.2177048447654
"236","Abura/Asebu/Kwamankese (Abura Dunkwa)","Kwaebibirem (Kade)",-0.799037277698517,6.13331890106201,-1.19708836078644,5.13000059127808,28.6199148258499
"237","Abura/Asebu/Kwamankese (Abura Dunkwa)","Sekyere East (Effiduase)",-0.844235956668854,7.21082878112793,-1.19708836078644,5.13000059127808,29.7631636856526
"238","Abura/Asebu/Kwamankese (Abura Dunkwa)","Juaboso Bia (Juaboso)",-2.92668342590332,6.35921287536621,-1.19708836078644,5.13000059127808,119.342209530835
"239","Abura/Asebu/Kwamankese (Abura Dunkwa)","Asante Akim South (Juaso)",-1.08829259872437,6.53297996520996,-1.19708836078644,5.13000059127808,13.8584532992374
"240","Abura/Asebu/Kwamankese (Abura Dunkwa)","Adansi West (Obuasi)",-1.65927422046661,5.98641157150269,-1.19708836078644,5.13000059127808,32.5840323656433
"241","Abura/Asebu/Kwamankese (Abura Dunkwa)","South Dayi (Kpeve)",0.20763073861599,6.37576246261597,-1.19708836078644,5.13000059127808,97.1205800172839
"242","Abura/Asebu/Kwamankese (Abura Dunkwa)","Asunafo (Goaso)",-2.68374562263489,6.80908823013306,-1.19708836078644,5.13000059127808,103.060361151459
"243","Abura/Asebu/Kwamankese (Abura Dunkwa)","Aowin Suaman (Enchi)",-2.78972434997559,5.78654623031616,-1.19708836078644,5.13000059127808,109.740474857548
"244","Abura/Asebu/Kwamankese (Abura Dunkwa)","Agona Swedru",-0.755242526531219,5.61735343933105,-1.19708836078644,5.13000059127808,30.6854919208124
"245","Abura/Asebu/Kwamankese (Abura Dunkwa)","Jomoro (Half Assini)",-2.80322027206421,5.06950759887695,-1.19708836078644,5.13000059127808,110.665969440277
"246","Abura/Asebu/Kwamankese (Abura Dunkwa)","North Tongu (Adidome)",0.407175898551941,6.13318634033203,-1.19708836078644,5.13000059127808,110.650106887205
"247","Abura/Asebu/Kwamankese (Abura Dunkwa)","West Mamprusi (Walewale)",-1.11731052398682,10.3346328735352,-1.19708836078644,5.13000059127808,43.6258811920996
"248","Abura/Asebu/Kwamankese (Abura Dunkwa)","Kwahu West (Nkawkaw)",-0.801975071430206,6.5270209312439,-1.19708836078644,5.13000059127808,29.5350904156856
"249","Abura/Asebu/Kwamankese (Abura Dunkwa)","Krachi East (Dambai)",0.217028766870499,7.74382829666138,-1.19708836078644,5.13000059127808,99.3333808704662
"250","Abura/Asebu/Kwamankese (Abura Dunkwa)","Bia (Essam)",-3.04354381561279,6.73738622665405,-1.19708836078644,5.13000059127808,127.543684167076
"251","Abura/Asebu/Kwamankese (Abura Dunkwa)","Kete Krachie",-0.0899035781621933,8.05344390869141,-1.19708836078644,5.13000059127808,79.6336550324649
"252","Abura/Asebu/Kwamankese (Abura Dunkwa)","Nkoranza",-1.51597356796265,7.66436910629272,-1.19708836078644,5.13000059127808,30.3676188587875
"253","Abura/Asebu/Kwamankese (Abura Dunkwa)","Kwabre (Mamponteng)",-1.54142010211945,6.80677843093872,-1.19708836078644,5.13000059127808,27.4557384823213
"254","Abura/Asebu/Kwamankese (Abura Dunkwa)","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044,-1.19708836078644,5.13000059127808,58.0391840795579
"255","Abura/Asebu/Kwamankese (Abura Dunkwa)","Techiman",-1.94484198093414,7.67761468887329,-1.19708836078644,5.13000059127808,55.4665451007967
"256","Abura/Asebu/Kwamankese (Abura Dunkwa)","Wa West (Wechiau)",-2.64412522315979,9.91548728942871,-1.19708836078644,5.13000059127808,106.329516777555
"257","Abura/Asebu/Kwamankese (Abura Dunkwa)","Ahanta West (Agona Ahanta)",-1.99056136608124,4.83470392227173,-1.19708836078644,5.13000059127808,54.7459750799825
"258","Abura/Asebu/Kwamankese (Abura Dunkwa)","Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718,-1.19708836078644,5.13000059127808,13.1457745410281
