"","schoolcode","program"
"744","20502","Visual Arts"
"745","40501","Visual Arts"
"746","40304","Business"
"747","30401","Business"
"748","50203","Business"
"749","9090401","Accounting"
"750","60203","General Arts"
"751","60701","Home Economics"
"752","9040301","Electrical Installation Works"
"753","20701","Technical"
"754","20502","Home Economics"
"755","20303","Business"
"756","21303","General Arts"
"757","71102","General Arts"
"758","9070501","Block Laying & Concreting"
"759","31202","Agriculture"
"760","90102","Visual Arts"
"761","20503","Home Economics"
"762","90502","Home Economics"
"763","40402","Agriculture"
"764","50109","Home Economics"
"765","50601","Business"
"766","40401","General Science"
"767","21202","Business"
"768","80102","General Science"
"769","20102","General Arts"
"770","10205","Home Economics"
"771","40111","Visual Arts"
"772","40202","Business"
"773","40903","Agriculture"
"774","71005","General Arts"
"775","40401","Visual Arts"
"776","61301","Business"
"777","40106","Agriculture"
"778","50101","General Science"
"779","80102","Home Economics"
"780","40102","General Science"
"781","70106","Home Economics"
"782","21401","Visual Arts"
"783","20501","Home Economics"
"784","40905","Technical"
"785","61001","Business"
"786","90103","Business"
"787","21201","General Arts"
"788","30107","General Science"
"789","40904","General Science"
"790","10201","Visual Arts"
"791","40104","General Arts"
"792","50704","General Science"
"793","70605","Visual Arts"
"794","10109","Technical"
"795","40503","Technical"
"796","50101","Business"
"797","20101","General Arts"
"798","50602","General Science"
"799","50207","Business"
"800","40108","Visual Arts"
"801","40202","Agriculture"
"802","20102","General Science"
"803","9010107","Fashion Design"
"804","70501","Home Economics"
"805","40108","General Arts"
"806","50111","Visual Arts"
"807","70201","Business"
"808","9050101","Block Laying & Concreting"
"809","50109","Visual Arts"
"810","9040101","Welding & Fabrication"
"811","30901","Technical"
"812","51402","Technical"
"813","60205","Business"
"814","40302","Visual Arts"
"815","70301","General Arts"
"816","100302","Home Economics"
"817","51602","Business"
"818","71007","Technical"
"819","40303","Agriculture"
"820","40501","Home Economics"
"821","70401","Agriculture"
"822","9050101","Motor Vehicle Mech."
"823","71006","General Arts"
"824","40901","Home Economics"
"825","40112","General Arts"
"826","50203","Visual Arts"
"827","10117","Visual Arts"
"828","61302","Technical"
"829","70901","Visual Arts"
"830","9030101","Electrical Mach. Rew."
"831","20105","General Arts"
"832","10401","Home Economics"
"833","70302","Business"
"834","90501","General Arts"
"835","31101","Agriculture"
"836","20403","Agriculture"
"837","70201","General Arts"
"838","9100101","Carpentry & Joinery"
"839","70301","Home Economics"
"840","40105","General Arts"
"841","30105","Business"
"842","60501","Agriculture"
"843","50202","Agriculture"
"844","60702","General Arts"
"845","70801","General Arts"
"846","21301","General Arts"
"847","40501","Agriculture"
"848","31101","Home Economics"
"849","41102","General Arts"
"850","60801","Business"
"851","20106","Business"
"852","30305","Home Economics"
"853","30109","General Arts"
"854","50801","General Arts"
"855","51602","Home Economics"
"856","71201","General Arts"
"857","40802","Technical"
"858","50202","General Science"
"859","40103","Visual Arts"
"860","21304","Technical"
"861","60303","General Science"
"862","40903","Home Economics"
"863","9090101","Mech. Eng. Craft Pract."
"864","9040301","Carpentry & Joinery"
"865","30401","Agriculture"
"866","10201","General Arts"
"867","71201","Business"
"868","50803","Agriculture"
"869","40102","Business"
"870","30201","Business"
"871","20601","Agriculture"
"872","30110","General Arts"
"873","40801","Business"
"874","70603","General Science"
"875","40701","Business"
"876","70603","Agriculture"
"877","80301","Business"
"878","60601","Agriculture"
"879","90102","Technical"
"880","71201","General Science"
"881","71008","Technical"
"882","60601","Visual Arts"
"883","50204","Visual Arts"
"884","30703","Technical"
"885","50606","Agriculture"
"886","40103","Home Economics"
"887","50502","Business"
"888","51501","General Arts"
"889","20104","General Arts"
"890","10205","Visual Arts"
"891","30101","General Arts"
"892","21502","Business"
"893","80301","Agriculture"
"894","80501","General Science"
"895","20105","Business"
"896","70502","Business"
"897","60601","Home Economics"
"898","20803","General Science"
"899","40702","Business"
"900","80201","Business"
"901","50601","Home Economics"
"902","51202","General Arts"
"903","31201","Visual Arts"
"904","40102","Agriculture"
"905","40802","Agriculture"
"906","100105","General Arts"
"907","20202","Agriculture"
"908","10103","Home Economics"
"909","90402","Home Economics"
"910","61001","General Arts"
"911","70112","Agriculture"
"912","90201","Technical"
"913","60604","Business"
"914","50106","Home Economics"
"915","90303","Home Economics"
"916","70203","Agriculture"
"917","60404","Agriculture"
"918","21102","General Arts"
"919","10301","Visual Arts"
"920","100401","Business"
"921","71103","Home Economics"
"922","51803","Visual Arts"
"923","10403","General Arts"
"924","21201","Visual Arts"
"925","50503","Home Economics"
"926","40905","General Arts"
"927","90602","General Arts"
"928","61002","General Arts"
"929","31203","General Arts"
"930","20302","General Arts"
"931","21007","General Arts"
"932","31002","General Arts"
"933","50802","Visual Arts"
"934","31202","Business"
"935","20805","Home Economics"
"936","51001","General Arts"
"937","70801","Home Economics"
"938","50704","Agriculture"
"939","40905","Agriculture"
"940","70106","Business"
"941","60206","General Arts"
"942","10302","Home Economics"
"943","9010117","Carpentry & Joinery"
"944","70102","Business"
"945","50303","Agriculture"
"946","40103","General Arts"
"947","21501","Visual Arts"
"948","20106","General Arts"
"949","21202","Technical"
"950","10202","Home Economics"
"951","9021001","Block Laying & Concreting"
"952","40906","Agriculture"
"953","50604","Home Economics"
"954","40502","General Arts"
"955","51301","General Science"
"956","70804","Home Economics"
"957","50605","General Arts"
"958","80601","Home Economics"
"959","10114","Home Economics"
"960","21009","Business"
"961","30203","Home Economics"
"962","60301","General Science"
"963","30602","Business"
"964","9030101","Fashion Design"
"965","61203","Home Economics"
"966","31204","General Arts"
"967","70110","General Arts"
"968","80102","Agriculture"
"969","50108","Business"
"970","70109","Agriculture"
"971","20602","Business"
"972","9030301","Catering"
"973","20403","Business"
"974","50102","General Arts"
"975","71101","General Arts"
"976","10114","Visual Arts"
"977","50109","Business"
"978","100201","Business"
"979","100502","Home Economics"
"980","50501","General Science"
"981","30501","General Science"
"982","20606","Technical"
"983","50113","Technical"
"984","50707","Home Economics"
"985","21502","General Science"
"986","10120","Home Economics"
"987","80101","Home Economics"
"988","40601","General Science"
"989","51701","General Arts"
"990","10118","General Arts"
"991","70105","Agriculture"
"992","60801","General Science"
"993","20601","Business"
"994","71202","Home Economics"
"995","50111","General Arts"
"996","31003","Business"
"997","50804","Agriculture"
"998","60101","Technical"
"999","70201","Home Economics"
"1000","50605","Home Economics"
"1001","51701","General Science"
"1002","51603","General Arts"
"1003","80802","Agriculture"
"1004","50107","Visual Arts"
"1005","70601","Business"
"1006","31204","Agriculture"
"1007","10112","General Arts"
"1008","9030101","Furniture Craft"
"1009","60301","Visual Arts"
"1010","50103","General Arts"
"1011","40107","Visual Arts"
"1012","30301","Business"
"1013","31001","Home Economics"
"1014","21008","Technical"
"1015","40201","General Arts"
"1016","20607","Business"
"1017","90405","Agriculture"
"1018","20402","Home Economics"
"1019","71009","General Arts"
"1020","50503","General Arts"
"1021","70114","Technical"
"1022","9070601","Carpentry & Joinery"
"1023","21502","Visual Arts"
"1024","60303","Home Economics"
"1025","50503","Agriculture"
"1026","71004","Agriculture"
"1027","40603","General Arts"
"1028","50102","Home Economics"
"1029","30103","General Science"
"1030","90601","General Arts"
"1031","9040101","Refrigeration & Air Cond."
"1032","70703","General Arts"
"1033","30102","General Science"
"1034","51201","General Arts"
"1035","50107","Home Economics"
"1036","50702","Agriculture"
"1037","30107","General Arts"
"1038","21201","Business"
"1039","20804","Business"
"1040","80105","Visual Arts"
"1041","70101","General Arts"
"1042","21501","General Arts"
"1043","20201","General Arts"
"1044","30102","Visual Arts"
"1045","40603","Agriculture"
"1046","10502","General Science"
"1047","80502","General Arts"
"1048","10128","Home Economics"
"1049","31204","Technical"
"1050","41101","General Arts"
"1051","60402","Home Economics"
"1052","40107","Business"
"1053","9070601","Mech. Eng. Craft Pract."
"1054","30703","Home Economics"
"1055","60201","Visual Arts"
"1056","60105","General Arts"
"1057","60106","General Science"
"1058","50115","Home Economics"
"1059","10106","Home Economics"
"1060","40801","Home Economics"
"1061","60102","General Arts"
"1062","9030101","Catering"
"1063","70503","Home Economics"
"1064","10120","Technical"
"1065","31001","Visual Arts"
"1066","30703","General Arts"
"1067","40105","Home Economics"
"1068","50504","Business"
"1069","10205","General Arts"
"1070","50112","Business"
"1071","40901","Business"
"1072","50302","Business"
"1073","61003","General Arts"
"1074","70604","Business"
"1075","9090101","Electrical Installation Works"
"1076","9010301","Electrical Installation Works"
"1077","21505","Home Economics"
"1078","40112","Home Economics"
"1079","9050106","Catering"
"1080","10112","Home Economics"
"1081","80107","General Arts"
"1082","21503","Home Economics"
"1083","90401","Business"
"1084","40702","Agriculture"
"1085","41102","Business"
"1086","51605","Home Economics"
"1087","40101","Visual Arts"
"1088","30904","Home Economics"
"1089","90103","Agriculture"
"1090","9021301","Block Laying & Concreting"
"1091","20801","Visual Arts"
"1092","40202","General Science"
"1093","70501","General Arts"
"1094","50201","Home Economics"
"1095","100303","Home Economics"
"1096","10102","Home Economics"
"1097","80902","Agriculture"
"1098","60703","Technical"
"1099","20404","Home Economics"
"1100","70502","Technical"
"1101","21101","Business"
"1102","21003","General Arts"
"1103","20401","Agriculture"
"1104","70502","General Science"
"1105","50115","Business"
"1106","51602","General Science"
"1107","30602","Home Economics"
"1108","9070501","Mech. Eng. Craft Pract."
"1109","30403","General Arts"
"1110","50114","General Arts"
"1111","9020101","Block Laying & Concreting"
"1112","50206","General Arts"
"1113","70507","Visual Arts"
"1114","10125","General Arts"
"1115","21003","Business"
"1116","60601","General Science"
"1117","50108","Visual Arts"
