"","schoolcode","program","averagescore"
"173",51203,"Agriculture",292.66
"174",51205,"Agriculture",260.4375
"175",51206,"Agriculture",261.862745098039
"176",51302,"Agriculture",254.516666666667
"177",51401,"Agriculture",293.76
"178",51402,"Agriculture",245
"179",51501,"Agriculture",257.833333333333
"180",51602,"Agriculture",322.133333333333
"181",51603,"Agriculture",312.416666666667
"182",51604,"Agriculture",283
"183",51605,"Agriculture",254.985714285714
"184",51606,"Agriculture",248.046511627907
"185",51701,"Agriculture",317.45
"186",51702,"Agriculture",257.807692307692
"187",51802,"Agriculture",307.975
"188",51804,"Agriculture",260.5375
"189",60102,"Agriculture",251.024390243902
"190",60103,"Agriculture",271.96
"191",60104,"Agriculture",352.7
"192",60105,"Agriculture",257.58
"193",60106,"Agriculture",373.6
"194",60201,"Agriculture",323.44
"195",60203,"Agriculture",251.466666666667
"196",60204,"Agriculture",243.75
"197",60205,"Agriculture",243.5
"198",60206,"Agriculture",270.490909090909
"199",60301,"Agriculture",315.696428571429
"200",60302,"Agriculture",275.938775510204
"201",60303,"Agriculture",284.16
"202",60304,"Agriculture",250.975609756098
"203",60402,"Agriculture",252.35593220339
"204",60404,"Agriculture",260.846153846154
"205",60501,"Agriculture",292.5125
"206",60504,"Agriculture",268.115384615385
"207",60601,"Agriculture",311.711111111111
"208",60602,"Agriculture",236.266666666667
"209",60603,"Agriculture",252.675675675676
"210",60604,"Agriculture",259.214285714286
"211",60605,"Agriculture",247.6
"212",60702,"Agriculture",271
"213",60704,"Agriculture",246.75
"214",60705,"Agriculture",243.285714285714
"215",60801,"Agriculture",257.4
"216",60802,"Agriculture",236.916666666667
"217",60902,"Agriculture",248.666666666667
"218",61001,"Agriculture",305.755555555556
"219",61002,"Agriculture",244.533333333333
"220",61003,"Agriculture",266.38
"221",61004,"Agriculture",244.75
"222",61101,"Agriculture",262.935483870968
"223",61102,"Agriculture",242.5
"224",61202,"Agriculture",267.1
"225",61203,"Agriculture",245.666666666667
"226",61204,"Agriculture",246.571428571429
"227",61303,"Agriculture",252.0875
"228",70102,"Agriculture",331.55
"229",70104,"Agriculture",304.333333333333
"230",70105,"Agriculture",241.263157894737
"231",70106,"Agriculture",281
"232",70108,"Agriculture",263.545454545455
"233",70109,"Agriculture",242.333333333333
"234",70110,"Agriculture",249.258064516129
"235",70111,"Agriculture",240
"236",70112,"Agriculture",254.9
"237",70113,"Agriculture",260.666666666667
"238",70114,"Agriculture",269
"239",70119,"Agriculture",253.5
"240",70201,"Agriculture",249.705882352941
"241",70202,"Agriculture",264
"242",70203,"Agriculture",250.084507042254
"243",70302,"Agriculture",245.866666666667
"244",70303,"Agriculture",224
"245",70401,"Agriculture",253.244897959184
"246",70402,"Agriculture",240.181818181818
"247",70403,"Agriculture",228.333333333333
"248",70501,"Agriculture",279.325
"249",70502,"Agriculture",298.633333333333
"250",70505,"Agriculture",253.15
"251",70506,"Agriculture",237.538461538462
"252",70601,"Agriculture",288.935064935065
"253",70602,"Agriculture",320.625
"254",70603,"Agriculture",257.85
"255",70604,"Agriculture",242.392857142857
"256",70605,"Agriculture",249.387755102041
"257",70606,"Agriculture",245
"258",70607,"Agriculture",246.8
"259",70703,"Agriculture",250.65
"260",70704,"Agriculture",262.816326530612
"261",70705,"Agriculture",217
"262",70802,"Agriculture",242.05
"263",70803,"Agriculture",240.75
"264",70805,"Agriculture",227
"265",70902,"Agriculture",238.111111111111
"266",71001,"Agriculture",242.263157894737
"267",71002,"Agriculture",250.142857142857
"268",71004,"Agriculture",253
"269",71008,"Agriculture",234
"270",71009,"Agriculture",238.333333333333
"271",71010,"Agriculture",235.142857142857
"272",71104,"Agriculture",239.142857142857
"273",71105,"Agriculture",290.5
"274",71201,"Agriculture",273.22
"275",71202,"Agriculture",242
"276",80101,"Agriculture",312.25
"277",80102,"Agriculture",297.8
"278",80105,"Agriculture",275.322222222222
"279",80106,"Agriculture",248.84
"280",80107,"Agriculture",269.180555555556
"281",80108,"Agriculture",260.877777777778
"282",80201,"Agriculture",248.05
"283",80202,"Agriculture",228.7
"284",80301,"Agriculture",268.7
"285",80302,"Agriculture",263.725
"286",80401,"Agriculture",232.766666666667
"287",80402,"Agriculture",242.785714285714
"288",80501,"Agriculture",256.507692307692
"289",80502,"Agriculture",232.25
"290",80602,"Agriculture",219.428571428571
"291",80701,"Agriculture",252.527777777778
"292",80702,"Agriculture",234.5
"293",80802,"Agriculture",227.5
"294",80901,"Agriculture",227.666666666667
"295",80902,"Agriculture",222.111111111111
"296",81001,"Agriculture",230.25
"297",81101,"Agriculture",229.4
"298",81102,"Agriculture",227.833333333333
"299",81202,"Agriculture",235.407407407407
"300",81302,"Agriculture",228.540540540541
"301",90101,"Agriculture",279.2
"302",90102,"Agriculture",239.422222222222
"303",90103,"Agriculture",236.690909090909
"304",90202,"Agriculture",236.714285714286
"305",90302,"Agriculture",232.103448275862
"306",90303,"Agriculture",245.52
"307",90403,"Agriculture",304.1875
"308",90404,"Agriculture",225.533333333333
"309",90405,"Agriculture",256.285714285714
"310",90501,"Agriculture",294.3
"311",90502,"Agriculture",234.2
"312",90503,"Agriculture",237.35
"313",90504,"Agriculture",232.897435897436
"314",90506,"Agriculture",231.285714285714
"315",90602,"Agriculture",290.822222222222
"316",100102,"Agriculture",292.555555555556
"317",100106,"Agriculture",240.625
"318",100203,"Agriculture",242.54
"319",100301,"Agriculture",224
"320",100303,"Agriculture",231.288888888889
"321",100402,"Agriculture",240.62
"322",100501,"Agriculture",253.211111111111
"323",100502,"Agriculture",235
"324",9010101,"Auto Body Works",324.25
"325",9050101,"Auto Body Works",318.057142857143
"326",9010201,"Block Laying & Concreting",270.5
"327",9010301,"Block Laying & Concreting",237.266666666667
"328",9020101,"Block Laying & Concreting",252.095238095238
"329",9020901,"Block Laying & Concreting",262
"330",9021001,"Block Laying & Concreting",240.625
"331",9021101,"Block Laying & Concreting",255.714285714286
"332",9021301,"Block Laying & Concreting",280.675
"333",9030101,"Block Laying & Concreting",260.411764705882
"334",9030401,"Block Laying & Concreting",251.666666666667
"335",9040101,"Block Laying & Concreting",256.739130434783
"336",9040301,"Block Laying & Concreting",262
"337",9050101,"Block Laying & Concreting",279.457142857143
"338",9051801,"Block Laying & Concreting",288.25
"339",9070501,"Block Laying & Concreting",242.4
"340",9070601,"Block Laying & Concreting",264.608695652174
"341",9070901,"Block Laying & Concreting",247
"342",9071001,"Block Laying & Concreting",249.666666666667
"343",9080103,"Block Laying & Concreting",236
"344",9090101,"Block Laying & Concreting",237.882352941176
"345",9090401,"Block Laying & Concreting",241.064516129032
"346",9100101,"Block Laying & Concreting",229.285714285714
"347",10101,"Business",324.86
"348",10103,"Business",357.966386554622
"349",10105,"Business",356.355555555556
"350",10106,"Business",345.19
"351",10107,"Business",313.289156626506
"352",10108,"Business",312.015625
"353",10111,"Business",405.333333333333
"354",10112,"Business",380.14606741573
"355",10114,"Business",347.99
"356",10116,"Business",273.635714285714
"357",10117,"Business",367.506329113924
"358",10118,"Business",316.881481481482
"359",10119,"Business",288.325
"360",10121,"Business",384.116666666667
"361",10142,"Business",285.684210526316
"362",10201,"Business",373.42962962963
"363",10205,"Business",306.708333333333
"364",10210,"Business",270.491666666667
"365",10213,"Business",323.066666666667
"366",10302,"Business",307.054545454545
"367",10401,"Business",352.3
"368",10402,"Business",251.090909090909
"369",10403,"Business",276.06
"370",10501,"Business",354.426966292135
"371",10502,"Business",326.696202531646
"372",10503,"Business",295.939393939394
"373",20102,"Business",393.9
"374",20103,"Business",367.155555555556
"375",20104,"Business",375.088888888889
"376",20105,"Business",315.919191919192
"377",20106,"Business",301.65
"378",20201,"Business",318.5
"379",20202,"Business",259.955555555556
"380",20204,"Business",260
"381",20301,"Business",411.188888888889
"382",20302,"Business",321.007692307692
"383",20303,"Business",354.887640449438
"384",20401,"Business",326.48
"385",20402,"Business",384.725
"386",20403,"Business",323.363636363636
"387",20406,"Business",272
"388",20410,"Business",273.2
"389",20501,"Business",324.366666666667
"390",20601,"Business",322.533333333333
"391",20602,"Business",295.116788321168
"392",20603,"Business",279.716666666667
"393",20606,"Business",252.5875
"394",20607,"Business",251.663793103448
"395",20608,"Business",253.974358974359
"396",20703,"Business",248.162790697674
"397",20704,"Business",261.163265306122
"398",20801,"Business",262.643410852713
"399",20803,"Business",311.583333333333
"400",20804,"Business",248.923076923077
"401",20805,"Business",255.409090909091
"402",20901,"Business",257.324324324324
"403",21001,"Business",299.5875
"404",21002,"Business",330.7125
"405",21003,"Business",397.96
"406",21004,"Business",292.771428571429
"407",21005,"Business",266.8375
"408",21006,"Business",286.830434782609
"409",21007,"Business",264.142857142857
"410",21009,"Business",246.153846153846
"411",21010,"Business",244.295454545455
"412",21101,"Business",278.54
"413",21102,"Business",323.54
"414",21104,"Business",246.392857142857
"415",21201,"Business",268.88
"416",21202,"Business",257.725
"417",21301,"Business",265.830769230769
"418",21302,"Business",360.82962962963
"419",21303,"Business",337.56862745098
"420",21305,"Business",266.455555555556
"421",21306,"Business",261.708333333333
"422",21401,"Business",281.184615384615
"423",21402,"Business",232.066666666667
"424",21501,"Business",368.333333333333
"425",21502,"Business",292.22
"426",21503,"Business",244.707692307692
"427",21504,"Business",249.98
"428",21601,"Business",263.684210526316
"429",30101,"Business",400.441666666667
"430",30102,"Business",392.075
"431",30103,"Business",428
"432",30105,"Business",340.389830508475
"433",30106,"Business",384.731092436975
"434",30107,"Business",434.533333333333
"435",30108,"Business",261.4
"436",30109,"Business",293.628571428571
"437",30110,"Business",258.375
"438",30201,"Business",294.98
"439",30202,"Business",244.555555555556
"440",30203,"Business",247.625
"441",30301,"Business",394.865168539326
"442",30302,"Business",251.627906976744
"443",30303,"Business",272.34
"444",30304,"Business",303.383838383838
"445",30305,"Business",256.688888888889
"446",30401,"Business",369.084967320261
"447",30402,"Business",255.473333333333
"448",30403,"Business",233
"449",30501,"Business",354.22
"450",30502,"Business",302.868686868687
"451",30503,"Business",260.5
"452",30504,"Business",269.06711409396
"453",30601,"Business",363.0875
"454",30602,"Business",300.05
"455",30603,"Business",271.415384615385
"456",30701,"Business",265.878787878788
"457",30702,"Business",260.01
"458",30703,"Business",240.125
"459",30801,"Business",329.242857142857
"460",30802,"Business",248.65
"461",30902,"Business",330.164383561644
"462",30903,"Business",307.075630252101
"463",30904,"Business",247.5
"464",30905,"Business",353.554621848739
"465",31001,"Business",319.207692307692
"466",31002,"Business",272.17
"467",31003,"Business",262.4
"468",31101,"Business",273.608333333333
"469",31102,"Business",244.079207920792
"470",31201,"Business",305.313131313131
"471",31202,"Business",293.425
"472",31203,"Business",242.873015873016
"473",31204,"Business",256.99
"474",31205,"Business",255.933333333333
"475",31206,"Business",239.041666666667
"476",40101,"Business",295.422222222222
"477",40102,"Business",339.233333333333
"478",40103,"Business",395.115384615385
"479",40105,"Business",359.807339449541
"480",40106,"Business",314.21
"481",40107,"Business",342.622222222222
"482",40110,"Business",248.28
"483",40111,"Business",278.655555555556
"484",40112,"Business",250.358333333333
"485",40201,"Business",304.955555555556
"486",40202,"Business",262.455555555556
"487",40301,"Business",274.32
"488",40302,"Business",252.866666666667
"489",40304,"Business",240.025
"490",40401,"Business",257.911111111111
"491",40402,"Business",236.176470588235
"492",40501,"Business",271.033333333333
"493",40502,"Business",249.744
"494",40601,"Business",278.922222222222
"495",40603,"Business",234.578947368421
"496",40604,"Business",256
"497",40701,"Business",285.68
"498",40702,"Business",264.95
"499",40801,"Business",246.086021505376
"500",40802,"Business",236.833333333333
"501",40901,"Business",252.6
"502",40902,"Business",285.03
"503",40903,"Business",293.42
"504",40904,"Business",330.066666666667
"505",40905,"Business",233.5
"506",40906,"Business",256.363636363636
"507",41002,"Business",259.117647058824
"508",41102,"Business",235.121951219512
"509",50101,"Business",354.477987421384
"510",50102,"Business",405.35
"511",50104,"Business",362.746153846154
"512",50105,"Business",372.815384615385
"513",50106,"Business",345.58389261745
"514",50107,"Business",381.785185185185
"515",50108,"Business",395.846666666667
"516",50109,"Business",329.2
"517",50110,"Business",403.641666666667
"518",50111,"Business",355.233576642336
"519",50112,"Business",323.724832214765
"520",50113,"Business",361.366666666667
"521",50114,"Business",335.9375
"522",50115,"Business",326.8625
"523",50119,"Business",321.377777777778
"524",50139,"Business",282.019867549669
"525",50201,"Business",377.733333333333
"526",50202,"Business",331.54
"527",50203,"Business",338.62
"528",50204,"Business",311.741666666667
"529",50205,"Business",271.383333333333
"530",50206,"Business",259.191666666667
"531",50207,"Business",250.184210526316
"532",50301,"Business",350.5375
"533",50302,"Business",289.98
"534",50304,"Business",259.849315068493
"535",50307,"Business",302.45
"536",50401,"Business",270.105
"537",50402,"Business",247.533333333333
"538",50403,"Business",248.567164179104
"539",50501,"Business",259.48
"540",50502,"Business",368.64
"541",50504,"Business",289.213333333333
"542",50601,"Business",301.477777777778
"543",50602,"Business",311.03
"544",50603,"Business",272.033333333333
"545",50604,"Business",265.87037037037
"546",50605,"Business",311.88
"547",50701,"Business",276.475
"548",50702,"Business",272.395238095238
"549",50703,"Business",257.147651006711
"550",50704,"Business",297.313333333333
"551",50705,"Business",240.5
"552",50707,"Business",268.757142857143
"553",50801,"Business",307.9375
"554",50802,"Business",276.0125
"555",50804,"Business",252.76
"556",50902,"Business",263.117647058824
"557",51001,"Business",292.222222222222
"558",51002,"Business",351.361538461538
"559",51003,"Business",258.26875
"560",51102,"Business",259.922222222222
"561",51201,"Business",272.23
"562",51202,"Business",326.627272727273
"563",51203,"Business",278.32
"564",51204,"Business",269.233766233766
"565",51206,"Business",271
"566",51301,"Business",257.03
"567",51302,"Business",241
"568",51401,"Business",278.866666666667
"569",51601,"Business",307.89
"570",51602,"Business",302.016666666667
"571",51603,"Business",262.304347826087
"572",51701,"Business",346.670886075949
"573",51702,"Business",266.969696969697
"574",51801,"Business",308.79
"575",51802,"Business",310.175
"576",51803,"Business",264.6125
"577",51804,"Business",252.78
"578",60101,"Business",304.963636363636
"579",60102,"Business",255.781818181818
"580",60104,"Business",348.773333333333
"581",60105,"Business",267.3
"582",60106,"Business",379.82
"583",60107,"Business",333.347826086957
"584",60201,"Business",321
"585",60202,"Business",255.772727272727
"586",60203,"Business",277.075
"587",60204,"Business",253.666666666667
"588",60205,"Business",244.571428571429
"589",60206,"Business",257.810344827586
"590",60301,"Business",323.875
"591",60304,"Business",253.279069767442
"592",60402,"Business",249.85
"593",60403,"Business",240.769230769231
"594",60404,"Business",245.1875
"595",60501,"Business",297.1
"596",60502,"Business",256.93
"597",60503,"Business",243
"598",60505,"Business",263.033333333333
"599",60601,"Business",283.688888888889
"600",60602,"Business",242.5
"601",60604,"Business",267.45
"602",60701,"Business",309.62
"603",60702,"Business",255.383333333333
"604",60704,"Business",241
"605",60801,"Business",262.616666666667
"606",60802,"Business",244.566666666667
"607",60901,"Business",253.019230769231
"608",60902,"Business",245.5
"609",61001,"Business",296.3
"610",61003,"Business",257.76
"611",61004,"Business",263.6
"612",61005,"Business",241
"613",61101,"Business",254.454545454545
"614",61201,"Business",355.5
"615",61202,"Business",281.6
"616",61203,"Business",237.5
"617",61301,"Business",255.566666666667
"618",61303,"Business",262.166666666667
"619",70101,"Business",370.966666666667
"620",70102,"Business",375.8625
"621",70103,"Business",275.142857142857
"622",70104,"Business",297.896774193548
"623",70105,"Business",253.414285714286
"624",70106,"Business",313.777777777778
"625",70108,"Business",244.666666666667
"626",70109,"Business",249.625
"627",70110,"Business",240
"628",70112,"Business",236
"629",70113,"Business",254.46
"630",70114,"Business",252.571428571429
"631",70119,"Business",244.714285714286
"632",70201,"Business",262.636363636364
"633",70202,"Business",241.307692307692
"634",70203,"Business",253.333333333333
"635",70204,"Business",228
"636",70301,"Business",260.057142857143
"637",70302,"Business",242
"638",70401,"Business",262.38
"639",70402,"Business",246.235294117647
"640",70403,"Business",250.166666666667
"641",70501,"Business",287.25
"642",70502,"Business",347.878787878788
"643",70503,"Business",248.558441558442
"644",70504,"Business",303.026666666667
"645",70505,"Business",250.343434343434
"646",70506,"Business",234.833333333333
"647",70507,"Business",245.076923076923
"648",70508,"Business",254.666666666667
"649",70509,"Business",256.333333333333
"650",70601,"Business",347.766666666667
"651",70602,"Business",350.45
"652",70603,"Business",281.0625
"653",70604,"Business",275.625
"654",70605,"Business",259.384615384615
"655",70608,"Business",241.166666666667
"656",70701,"Business",283.444444444444
"657",70702,"Business",249.5
"658",70703,"Business",279.5875
"659",70704,"Business",262.58
"660",70705,"Business",238.875
"661",70804,"Business",260.8
"662",70805,"Business",247.027777777778
"663",70806,"Business",288.5
"664",70901,"Business",314.08
"665",70902,"Business",247.411764705882
"666",71001,"Business",241.911111111111
"667",71003,"Business",223
"668",71005,"Business",306.644444444444
"669",71006,"Business",285.666666666667
"670",71007,"Business",251
"671",71009,"Business",244
"672",71010,"Business",255.125
"673",71101,"Business",265.6125
"674",71102,"Business",239.1
"675",71103,"Business",246.46
"676",71104,"Business",225
"677",71201,"Business",283.279329608939
"678",71202,"Business",235.857142857143
"679",80101,"Business",333.56
"680",80102,"Business",307.633333333333
"681",80103,"Business",282.375
"682",80104,"Business",289.56
"683",80105,"Business",263.488888888889
"684",80109,"Business",248.115384615385
"685",80110,"Business",237.883720930233
"686",80201,"Business",240.842696629213
"687",80301,"Business",249.88
"688",80302,"Business",247.634615384615
"689",80303,"Business",238.265306122449
"690",80401,"Business",234.320512820513
"691",80402,"Business",243
"692",80501,"Business",233.646153846154
"693",80503,"Business",221.75
"694",80701,"Business",241.880952380952
"695",80801,"Business",258.69
"696",81001,"Business",234.666666666667
"697",81201,"Business",243.5
"698",81301,"Business",233.6
"699",81302,"Business",231.606060606061
"700",90101,"Business",268.722222222222
"701",90103,"Business",238.236363636364
"702",90202,"Business",233.48
"703",90303,"Business",262.62
"704",90401,"Business",284.612244897959
"705",90403,"Business",308.891666666667
"706",90501,"Business",299.333333333333
"707",90503,"Business",238.888888888889
"708",90506,"Business",232.333333333333
"709",100102,"Business",303.344444444444
"710",100105,"Business",268.0125
"711",100106,"Business",253.5
"712",100201,"Business",314.275
"713",100202,"Business",261.485
"714",100204,"Business",226.5625
"715",100302,"Business",295.02
"716",100304,"Business",248.94
"717",100401,"Business",280.875
"718",100503,"Business",278.65
"719",9010102,"Carpentry & Joinery",241.3
"720",9010201,"Carpentry & Joinery",257.058823529412
"721",9010301,"Carpentry & Joinery",241.0625
"722",9020101,"Carpentry & Joinery",254.25
"723",9021001,"Carpentry & Joinery",252
"724",9021301,"Carpentry & Joinery",284.666666666667
"725",9030101,"Carpentry & Joinery",249.111111111111
"726",9030401,"Carpentry & Joinery",247.75
"727",9040301,"Carpentry & Joinery",238.333333333333
"728",9050101,"Carpentry & Joinery",278.25
"729",9051801,"Carpentry & Joinery",243
"730",9070501,"Carpentry & Joinery",269
"731",9070601,"Carpentry & Joinery",249
"732",9070901,"Carpentry & Joinery",221
"733",9090101,"Carpentry & Joinery",234
"734",9090401,"Carpentry & Joinery",227
"735",9100101,"Carpentry & Joinery",243.8
"736",9021001,"Catering",244
"737",9030101,"Catering",267
"738",9070901,"Catering",257.666666666667
"739",9090401,"Catering",230.95
"740",9010201,"Electrical Installation Works",307.218181818182
"741",9010301,"Electrical Installation Works",256.05
"742",9020101,"Electrical Installation Works",262.405797101449
"743",9021001,"Electrical Installation Works",269
"744",9021101,"Electrical Installation Works",259.555555555556
"745",9021301,"Electrical Installation Works",327.65
"746",9030401,"Electrical Installation Works",241
"747",9040101,"Electrical Installation Works",212.5
"748",9040301,"Electrical Installation Works",255.325581395349
"749",9050101,"Electrical Installation Works",329.714285714286
"750",9051801,"Electrical Installation Works",254.333333333333
"751",9070501,"Electrical Installation Works",250.314285714286
"752",9070601,"Electrical Installation Works",254.15
"753",9070901,"Electrical Installation Works",245.4375
"754",9071001,"Electrical Installation Works",282
"755",9080901,"Electrical Installation Works",236
"756",9090101,"Electrical Installation Works",236.375
"757",9090401,"Electrical Installation Works",250.25
"758",9100101,"Electrical Installation Works",237.130434782609
"759",9030101,"Electrical Mach. Rew.",259.842105263158
"760",9050101,"Electrical Mach. Rew.",293.485714285714
"761",9010102,"Fashion Design",259.56
"762",9010301,"Fashion Design",246.111111111111
"763",9021002,"Fashion Design",243
"764",9030101,"Fashion Design",230.2
"765",9050101,"Fashion Design",237
"766",9070501,"Fashion Design",234.1
"767",9070901,"Fashion Design",251.333333333333
"768",9071001,"Fashion Design",233
"769",9090101,"Fashion Design",232.25
"770",9090401,"Fashion Design",237.818181818182
"771",9100101,"Fashion Design",236.5
"772",9030101,"Furniture Craft",243.428571428571
"773",9030401,"Furniture Craft",223.2
"774",9070601,"Furniture Craft",243
"775",10101,"General Arts",330.09
"776",10102,"General Arts",404.977272727273
